Query no.,Company,Query,Actual Response,GPT 5.2 Response,Gemini Response
155,M/s Bharat Aluminium Company Limited,"We seek clarification on whether it is a prerequisite to submit the Earnest Money
Deposit (EMD) for signing the Non-Disclosure Agreement (NDA). If so, we kindly request a waiver of this condition for the NDA signing.
Signing the NDA will enable NPCIL to share the CAPEX and OPEX data of their existing Nuclear Power Plants (NPP), which will significantly aid us in gaining a better techno- commercial understanding of this model.",RFP Terms and Conditions shall prevail.,RFP terms & conditions shall prevail.,"NDA is submitted along with the Proposal (which requires EMD). However, interested industries may sign NDA prior to proposal for data access as per Corrigendum VII."
156,M/s Bharat Aluminium Company Limited,"Nuclear power is recognized as a clean energy source. During their operation, nuclear power plants do not emit greenhouse gases, and when considering their entire life- cycle, they generate emissions comparable to wind energy and significantly lower than solar energy, producing only one-third of the carbon dioxide-equivalent emissions per unit of electricity.
We request NPCIL to takeup with the Government of India and relevant ministries to advocate that the nuclear power consumed by industries and users be recognized similar as renewable energy. and enable USERS to comply with the obligations under Electricity Act & Energy Conservations Act, such as Renewable Purchase Obligation (RPO) & Renewable Consumption Obligation (RCO) etc.",Not relevant to RFP,RFP terms & conditions shall prevail.,Not relevant to RFP. Policy matter.
157,M/s Bharat Aluminium Company Limited,"Given that the preliminary site analysis and approval from the State Government is a lengthy process, we kindly request NPCIL to consider extending the Proposal Submission Due date beyond March 31, 2025, by a minimum of six months.",Refer Corrigedum-III of RFP for extension of time for submission of proposal.,RFP terms & conditions shall prevail.,Proposal Due Date has been extended to 31/03/2026. Refer Corrigendum-VII and VIII.
158,M/s Bharat Aluminium Company Limited,"Regarding the captive status of power, if it is utilized by a subsidiary or holding company of the USER, does this power continue to be considered captive for the USER,
its subsidiary, and its holding company?",Refere Annexure-3 and corrigendum-IV of RFP,Not relevant to RFP.,"Yes, provided they qualify as ""Affiliates"" with >26% control. Refer Corrigendum-IV definition of Affiliate."
159,M/s Bharat Aluminium Company Limited,"Following the closure of the Proposal Submission deadline for this RFP, if a private entity or USER expresses interest in establishing a Nuclear Power Plant (NPP), will NPCIL consider such requests or provide support under the same conditions outlined in
this RFP?",Refere Annexure-3 and corrigendum-IV of RFP,RFP terms & conditions shall prevail.,Not relevant to current RFP terms.
160,M/s Bharat Aluminium Company Limited,We kindly request NPCIL to associate the O&M costs (which are to be reimbursed based on actual expenses) with the benchmark established over the past 15 years.,RFP terms & conditions will prevail.,RFP terms & conditions shall prevail.,O&M costs are reimbursable at actuals. Benchmark data shared after NDA.
161,M/s Bharat Aluminium Company Limited,"How will NPCIL will provide indemnification to the USER for any generation losses
resulting from issues related to the quality of operation and maintenance, as well as any compliance issues that may arise.",RFP terms & conditions will prevail.,RFP terms & conditions shall prevail.,NPCIL operates as per AERB guidelines. No indemnification for generation loss is provided in RFP.
162,M/s Bharat Aluminium Company Limited,"We kindly request NPCIL and DAE to provide their action plan for Fuel Security, along with an estimated cost for the next 40 years, considering that the expenses for fuel and heavy water will need to be reimbursed by the USER on an actual basis.",Fuel supply is in scope of DAE.,Not relevant to RFP.,Fuel supply is assured by DAE under Agreement-4.
163,M/s Bharat Aluminium Company Limited,"How does NPCIL will provide indemnification to the USER against all regulatory and compliance litigations, both at the national and international levels.",Regulatory interface is in scope of NPCIL,RFP terms & conditions shall prevail.,NPCIL as operator is responsible for regulatory compliance. Liability is as per CLND Act.
164,M/s Bharat Aluminium Company Limited,"We kindly request NPCIL to consider lowering the amount of the Earnest Money
Deposit to ₹ 1 Cr.",RFP Terms and Conditions shall prevail.,RFP terms & conditions shall prevail.,RFP terms & conditions shall prevail. EMD is ₹ 10 Crores.
165,M/s Bharat Aluminium Company Limited,"In the context of this Request for Proposal (RFP), is there an opportunity for the USER
to independently secure (tie-up) and supply fuel from itself ?",Fuel supply is in scope of DAE.,RFP terms & conditions shall prevail.,No. Fuel and heavy water shall always remain property of DAE and supplied by DAE. Refer Introduction (vii)(ix).
166,M/s Bharat Heavy Electricals Limited,"As per RFP:
Ref.(1): ""In the event that the Parties are unable to agree in good faith ... the Party not agreeing to existence of Force Majeure event.""
Ref.(2): Dispute Resolution Mechanism
BHEL: It is suggested that a uniform dispute resolution mechanism should apply to all disputes, irrespective of the situation or value of the dispute.",Micro detailing for the relevant agreements can be mutually agreed upon at the appropriate juncture within the existing regulatory framework.,RFP terms & conditions shall prevail.,Dispute Resolution shall be as per Annexure-3 Clause (xx) of RFP. AMRCD mechanism applies for CPSEs.
167,M/s Bharat Heavy Electricals Limited,"As per RFP:
Ref.(1): ""O&M Expenditure - Rs.47.47 Lakhs/MWe per annum for year  2017-18, with annual escalation of 6% per annum for every subsequent year. i.e charges for 2018-19 would be Rs.50.3182 Lakhs/MWe per annum (47.47 * 1.06 = 50.1382) and water charges/cess/levies and insurance charges at actuals.""
Ref.(2): ""… Proposals of only those USERs who agree for paying expertise fees @ 60 paise/ kWh to NPCIL shall be considered.""
BHEL: It is understood that O&M expenditure mentioned in Annexure-2 is covered under Expertise fees @ 60 paise/kWh to NPCIL as defined in Annexure-3.",Relevant information will be shared on signing of NDA.,"Annexure-2 defines O&M = ₹47.47 L/MWe (2017-18, 6% escalator). USER reimburses NPCIL’s actual O&M expenses. ",No. Expertise fees are in addition to reimbursement of O&M expenditure at actuals. Refer Introduction (vii)(iv) and (vii).
168,M/s Bharat Heavy Electricals Limited,"As per RFP: Refund of EMD
BHEL: Clarity to be given to the USER regarding refund of EMD if both parties are unable to reach a common consensus on various  agreements after acceptance of their offer in QR stage.",RFP Terms and Conditions shall prevail.,"EMD of non-qualified USERS is refunded (post-QR). For the successful USER, EMD is held as IP security until the Asset Transfer Agreement is executed. ",EMD/Proposal Security shall be forfeited if USER withdraws after due date. Refund rules as per Annexure-3 Clause (vii).
169,M/s Bharat Heavy Electricals Limited,"As per RFP:  
Responsibilities defined in these clauses
BHEL: A clear scope matrix identifying all stages construction of nuclear power plant under consideration may be provided which includes responsibilities at various stages viz. Pre-project, Design, Engineering, Procurment, Manufacturing, Construction etc.",Broad scope and responsibilities are brought out in RFP.,RFP terms & conditions shall prevail.,Refer Annexure-1. Detailed scope matrix will be part of Agreement-2.
170,M/s Bharat Heavy Electricals Limited,"As per RFP:
Ref.(1): ""... Excavation and Plain Cement Concrete (PCC) work are expected to take 9 to 12 months, while the construction of the first unit is projected to take 42 to 48 more months, counted from FPC.
Ref.(2): "" 1) Siting: The consent at the first major stage, namely Siting, involves Site evaluation review process. This process may be divided in two sub-stages: (a) Preliminary evaluation and (b) Detailed evaluation ..."".
BHEL: In the above two clauses, the timeslines for PCC and Cosntrcution are defined however the timeline for siting is not defined. The same may please be be provided.",Siting involves site specific studies/investigations and preparation of detailed site evaluation report by USER and its review and acceptance by AERB.,Excavation and PCC require ~9–12 months (Annexure-1 Part C).,"Siting timeline depends on site characteristics, EIA studies, and regulatory approvals (AERB/MoEFCC). No fixed timeline can be provided in RFP."
171,M/s Bharat Sanchar Nigam Limited,Whether land available in city limits can be utilised for setting NPP.,This will be subject to complaince to AERB siting code/guides,Not relevant to RFP.,No. Site must meet Screening Distance Values (SDVs) of AERB. 5km from large population centers/tourist places. Refer Annexure-1 Part A (C).
172,M/s Bharat Sanchar Nigam Limited,"1) BSNL want to go for lower size of BSR. So what is the minimum capacity of BSR that
can be installed in future.
2) What is the minimum size of land requirement for this minimum capacity of BSR so that we can find out suitability as per our land availability and meeting other requirements of NPCIL.
3) Who will avail Carbon Credits from installation of BSR.","Proposal is for minimum capacity of 2 x 220 MWe BSR.
 Land area requirement and Ownership is as specified in RFP.",Not relevant to RFP.,1) RFP is for 220 MWe. 2) Land for 220 MWe is ~87 Ha (0.5km EZ) to 331 Ha (1km EZ). 3) Carbon credits benefit policy is under evolution.
173,M/s Bharat Sanchar Nigam Limited,Whether any funding will be available for this project by DAE or MNRE.,Funds/Finance to be arranged by USER,Not relevant to RFP.,No. Entire funding (CAPEX & OPEX) is to be borne by the USER. Refer Introduction (iv).
174,M/s Continuum Green Energy Limited,"Quoted in RFP Documents: ""The USER shall have an industrial/commercial unit which,
for its commercial / industrial activities has requirement of electricity of about 2500 MUs per year, which the USER intends to meet from the captive generating plant of the BSR.""
Clarification / Request:
We would like to inform you that we are an Independent Power Producer (IPP) engaged in developing renewable power projects for industrial and commercial consumers under a Third-Party / Group-Captive structure.
In this regard, we kindly request NPCIL to clarify whether IPPs like us, who will identify and finalize industrial/commercial consumers under the Group-Captive structure closer to the COD, are eligible to participate in the RFP.",Refer Annexure-3 and Corrigendum-IV of RFP,The RFP QR (Annexure-3) requires USER’s own industrial unit (~2500 MUs/yr). IPPs under group-captive do not meet this USER criterion.,"Yes, provided the USER and its Affiliates (entities with >26% control) meet the consumption (2500 MUs) and net worth (3000 Cr) criteria. Refer Corrigendum-IV."
175,M/s Continuum Green Energy Limited,"Quoted in RFP Documents: ""The USER shall have minimum net worth of Rs. 3000
Crores in the preceding financial year (2023-24) and should have credit rating corresponding to high degree safety regarding timely servicing of financial obligations and very low
credit risk from credit rating agencies, authorized to operate in India.""
Clarification / Request:
We kindly request a reduction in the net worth criteria to ₹900 crore (until September 2024) to encourage broader participation.",Refer Annexure-3 and Corrigendum-IV of RFP,RFP terms & conditions shall prevail.,RFP terms & conditions shall prevail. Minimum net worth is Rs. 3000 Crores.
176,M/s Continuum Green Energy Limited,"Quoted in RFP Documents: ""USER shall confirm that they are meeting the criteria of Land area requirement as per Annexure-1: PART–A clause (A) of RFP. User to confirm that supporting information against above criteria is attached along with the proposal.""
Clarification / Request:
We kindly request clarification on whether land availability is required before submitting the Request for Proposal (RFP).
Additionally, we propose that NPCIL or the concerned authority take the initiative to identify and acquire the land for the development of the power plant.",Refer Annexure-3 and Corrigendum-IV of RFP. Land is to be identified and offered by USER.,QR requires USER to propose the land site. NPCIL will not identify/acquire land for USER.,Preliminary site evaluation of offered land is required with proposal. Land acquisition is USER scope. NPCIL does not acquire land under this model.
177,M/s Crimson Energy Experts Pvt. Ltd.,"Can site suitability studies be undertaken by any other suitable  company on behalf of
the USER and report submitted to NPCIL.",Not relevant to RFP,Yes; USER may hire any qualified agency for site studies. RFP allows USER to perform these studies as needed.,"Yes, USER can engage competent agencies, but responsibility lies with USER."
178,M/s Crimson Energy Experts Pvt. Ltd.,"Kindly detail ""Contingent Ownership"".",It's Ownership for a specific purpose.,Contingent ownership' means NPCIL’s lease of the land reverts to USER if the NPP construction never starts (before construction begins).,"Land is sub-leased to NPCIL. If project does not take off before construction, land reverts to USER. Refer Introduction (vii)(a)(iv)."
179,M/s Crimson Energy Experts Pvt. Ltd.,"Can USER select a suitable technical partner with nuclear expertise (For Design,
Engineering, Documentation, QA/ QS and Installation activities).",Scope as defined in RFP will govern.,"Yes; USER may select technical partners, provided all project contracts are through NPCIL’s approved vendors (per RFP). ",USER must select agencies from the approved list of vendors provided by NPCIL.
180,M/s Crimson Energy Experts Pvt. Ltd.,"Can a rough cost breakeven period be indicated along with its calculations based on
current NPCIL electricity tariff.",Not relevant to RFP,Not relevant to RFP.,Financial modeling is the scope of the USER. Relevant cost data shared after NDA.
181,M/s Crimson Energy Experts Pvt. Ltd.,"Can the USER utilize services of a competent private partner for activities of
documentation for siting operations,  decommissioning, commisioning etc for submissions to NPCIL for approval.",Not relevant to RFP,Yes; USER may engage private partners. All major contracts must still be awarded via NPCIL’s approved vendor list.,"Yes, subject to security clearance and NPCIL supervision."
182,"M/s DINESHCHANDRA R. AGRAWAL
INFRACON PVT. LTD.","As per present applicable tax in India, only GST is applicable, therefore 'any tax' or 'any
other tax' means only 'GST' as applicable. Please confirm.","Impact of Direct / Indirect Taxes applicable to RFP may be ascertained
 in consultation with Tax consultant.",Not relevant to RFP.,"""Any tax"" implies all applicable taxes, duties, cess, and levies as per laws in force."
183,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"NPCIL to clarify whether they will be having any objection or restriction of arranging finances by USER as the clause stated finances shall only be arranged by the USER
against 'Intangible asset'.","In case financing from own resources is not contemplated, option of financing to be discussed with the financial institutions .",Not relevant to RFP.,"NPCIL has no objection to USER arranging finance provided it complies with the ""Intangible Asset"" (Right to Use Power) model and land sub-lease requirements."
184,"M/s DINESHCHANDRA R. AGRAWAL
INFRACON PVT. LTD.",NPCIL to furnish draft Sub leasing of land vide Agreement  No. 1 as per RFP please.,"Relevant agreements can be mutually agreed upon at the appropriate
 juncture within the existing regulatory framework.",Relevant information will be shared on signing of NDA.,Draft agreements will be shared with qualified USERs at appropriate stage.
185,"M/s DINESHCHANDRA R. AGRAWAL
INFRACON PVT. LTD.","NPCIL to furnish the draft  Agreement - 2 (binding the parties for their obligations) as
per RFP please.","Relevant agreements can be mutually agreed upon at the appropriate
 juncture within the existing regulatory framework.",Relevant information will be shared on signing of NDA.,Draft agreements will be shared with qualified USERs at appropriate stage.
186,"M/s DINESHCHANDRA R. AGRAWAL
INFRACON PVT. LTD.",NPCIL to furnish the draft O&M Agreement - 3 as per RFP please.,"Relevant agreements can be mutually agreed upon at the appropriate
 juncture within the existing regulatory framework.",Relevant information will be shared on signing of NDA.,Draft agreements will be shared with qualified USERs at appropriate stage.
187,"M/s DINESHCHANDRA R. AGRAWAL
INFRACON PVT. LTD.","NPCIL to furnish the draft tripartite Agreement - 4 among USER, DAE & NPCIL  as per
RFP please.","Relevant agreements can be mutually agreed upon at the appropriate
 juncture within the existing regulatory framework.",Relevant information will be shared on signing of NDA.,Draft agreements will be shared with qualified USERs at appropriate stage.
188,"M/s DINESHCHANDRA R. AGRAWAL
INFRACON PVT. LTD.","NPCIL to kindly inform the cost of financial security or/and insurance policy based on
existing such 220 MW PHWR type nuclear power stations.","May please contact the Indian Nuclear Insurance pool (INIP) for CLND
 insurance related queries.",NPCIL (as operator) will take the liability insurance; USER reimburses actual costs. The premium is not predetermined in the RFP.,Relevant information will be shared on signing of NDA.
189,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per Chapter-II, Liability for Nuclear Damage, Clause No. 6 of The Civil Liability for Nuclear Damage Act, 2010 (Enclosed as Annexure-1 for ready reference please) , 'Limits of Liability' as follows:
(6) (1) The maximum amount of liability in respect of each nuclear incident shall be the rupee equivalent of three hundred million Special Drawing Rights ( 1 SDR = Rs. 105.5658 vide DAE website - Frequently Asked Questions (Enclosed as Annexure-2 for ready reference please) - means Rs. 3166.97 Cr) or such higher amount as the Central Government may specify by notification: Provided that the Central Government may take additional measures, where necessary, if the compensation to be awarded under this Act exceeds the amount specified under this sub-section.
USER request NPCIL to know the present maximum liability of Central Government towards such incidences.
(6) (2) (a) The liability of an operator for each nuclear incident shall be - (a) in respect of nuclear reactors having thermal power equal to or above ten MW, rupees one thousand five hundred (1500 ) crores.
Also as per DAE website (FAQ's) The operator's maximum liability is Rs. 1500 Crores.
NPCIL to please reconfirm.
(6) (2) (b) in respect of spent fuel reprocessing plants, rupees hundred (100) crores. NPCIL to please clarify Spent Fuel Reprocessing Plant not in Bidder Scope, however, Spent Fuel Storage Building (SFSB) is in Bidder's Scope vide Part-C, Page No. 32 of 84 of RFP.","Please refer the provisions of CLND act & for purpose of the application of the Civil Liability for Nuclear Damage Act, 2010 (â€œCLND Act.â€) NPCIL shall be operator.",Not relevant to RFP.,"Operator's liability is as per Section 6(2) of CLND Act, 2010 (currently Rs. 1500 Crores). Total liability cover is per Act/Notifications."
190,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per Chapter-II, Liability of Central Government, Clause No. 7 (2) of The Civil Liability
for Nuclear Damage Act, 2010 & subsequently DAE Notification dated 8th Dec 2015, (Enclosed as Annexure-3 for ready reference please) Clause No. (3) : Establishment of Nuclear Liability Fund by Central Government: The operator shall pay to the Nuclear Liability Fund , a levy at the rate of rupees 0.05 (five paise) or a levy at such rate between rupees 0.05 to 0.10 (five paise to ten paise) for every unit of electricity sold to its customers.
NPCIL to please inform the rate of levy being deposited per unit basis for their
existing PHWR 220 MW nuclear power plants.","Please refer the provisions of CLND act & for purpose of the application of the Civil Liability for Nuclear Damage Act, 2010 (â€œCLND Act.â€) NPCIL shall be operator.",Not relevant to RFP.,Levy is collected as per Rule 3 of CLND Rules (currently 5-10 paise/unit range). Specifics shared after NDA.
191,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per Chapter-II, Liability for Nuclear Damage, Clause No. 8 of The Civil Liability for Nuclear Damage Act, 2010: Operator to maintain insurance or financial securities. NPCIL to inform USER the premium of such insurance policy for 2 X 220 MW Nuclear installation.","Please refer the provisions of CLND act & for purpose of the application of the Civil Liability for Nuclear Damage Act, 2010 (â€œCLND Act.â€) NPCIL shall be operator. For primium - May please contact the Indian Nuclear Insurance pool (INIP).",Not relevant to RFP.,Premium depends on the India Nuclear Insurance Pool (INIP) terms. Information shared after NDA.
192,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per Chapter-III, Claims Commissioner, Clause No. 9, Compensation for nuclear damage and its adjudication of CLND Act 2010: (1) Whoever suffers nuclear damage shall be entitled to claim compensation in accordance with the provisions of this Act. USER request NPCIL to advise how to protect Contractor without knowing the number of claimants under such nuclear incident (Bhopal disastor in 1984, probably the world's worst industrial accident. Union Carbida (51% US owned) chemical plant in Bhopal released a deadly mix of methyl isocyanate and other toxic gases due to operator error and poor plant design, killing some 15,000 people and badly affecting some 100,000 others. The company paid out some US$ 1 billion in compensation - widely considered inadequate as per Annexure-4 : Nuclear Power in India - World Nuclear Association Report for ready reference please)","Please refer the provisions of CLND act & for purpose of the application of the Civil Liability for Nuclear Damage Act, 2010 (â€œCLND Act.â€) NPCIL shall be operator. For other queries may please contact the Indian Nuclear Insurance pool (INIP).",Not relevant to RFP.,Compensation is adjudicated by Claims Commissioner as per CLND Act. Operator covers liability up to limit; GoI covers balance up to SDR 300 Million/CSC limits.
193,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per DAE Website (FAQ): The Supplier's liability cannot be more than that of Operator's liability (Rs,. 1500 Crores).
NPCIL to please reconfirm the same.","Please refer the provisions of CLND act & for purpose of the application of the Civil Liability for Nuclear Damage Act, 2010 (â€œCLND
 Act.â€) NPCIL shall be operator.",Not relevant to RFP.,Supplier liability is governed by Section 17 of CLND Act and Rule 24 of CLND Rules.
194,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per DAE Website (FAQ): What is the liability to supplier if right of recourse is resorted to?. In case the Supplier's Poilcy from Indian Nuclear Insurance Pol (INIP) and the same is in effect, then INIP will hold the Supplier harmless.
In this case, NPCIL will not raise claim on Supplier/Contractor. NPCIL to please clarify. This means NPCIL will be the beneficiary in the Supplier's Policy.","Please refer the provisions of CLND act & for purpose of the application of the Civil Liability for Nuclear Damage Act, 2010 (â€œCLND Act.â€) NPCIL shall be operator.",Not relevant to RFP.,Right of Recourse (Section 17) is a statutory provision. Insurance covers the liability but does not negate the statutory right. Interpretation is subject to CLND Act.
195,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"Request NPCIL to furnish the current charges monthly/yearly basis for the following
operating expenditures for their existing same type of plants:
1. Fuel charges
2. Heavy water charges
3. Operation & Maintenance Expenditures (including manpower expenses such as salaries and administrative expenditure)
4. Levies on nuclear power, as determined from time to time, by DAE or any other competent authority
5. Insurance charges
6. Water charges
7. Any taxes other than income tax (that are payable by NPCIL with respect to NPP/BSR as levied by competent authority from time to time)",Relevant information will be shared on signing of NDA.,RFP terms & conditions shall prevail.,Relevant information will be shared on signing of NDA.
196,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per RFP, Kaiga-3 (220 MW) & Kaiga-4 (220 MW) Completion Cost indicated Rs. 2715.04 Cr.
NPCIL to clarify if the same for each unit.",NPCIL undertakes project on twin unit basis.,Kaiga-3 (220 MW) – ₹2715.04 Cr.,The cost indicated in Annexure-4 is the total completion cost for the station (2 units) at that time.
197,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per RFP, RAPP-5 (220 MW) & RAPP-6 (220 MW) Completion Cost indicated Rs. 2361.81 Cr.
NPCIL to clarify if the same for each unit.",NPCIL undertakes project on twin unit basis.,RAPP-5 (220 MW) – ₹2361.81 Cr.,The cost indicated in Annexure-4 is the total completion cost for the station (2 units) at that time.
198,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,USER request to know the status of amendment of power plant eligibility of Captive Generating Plant (CGP) & the time line of such amendment through Ministry of Power,Not Relevant to RFP,RFP notes CGP amendment is under Ministry of Power consideration.,Proposal is under consideration by Ministry of Power. Timelines cannot be confirmed by NPCIL.
199,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"For Clarity NPCIL will provide proven PHWR Technology to USER for arranging the finances as well for the Design, Engineering, Manufacturing, Supply, Erection, Testing,
Commissioning & O&M of 2 X 220 MW BMR's.",This RFP is for Standard 2 x 220 Mwe PHWRs.,"Yes; BSR is a proven PHWR design under RFP, and NPCIL will provide the necessary technology/oversight. ",NPCIL provides design and supervision. Procurement and construction are USER scope. No technology transfer for manufacturing is implied.
200,"M/s DINESHCHANDRA R. AGRAWAL
INFRACON PVT. LTD.","NPCIL to clarify : 'Construction Stage' means 'Design, Engineering, Manufacturing,
Supply, ETC & PG TEST'",Query not clear,"Construction stage' includes all activities up to first fuel load: design, engineering, civil works, equipment installation, etc. (see RFP Annexure-1 Part C).",Construction phase covers activities from First Pour of Concrete to Commissioning as detailed in Introduction (vii)(b). Design is by NPCIL.
