"Overall
Query no.",Query no.,Name of Company,Description of the query,Response from NPCIL
293,30,M/s HPCL Mittal Energy Limited,"We want to know if we can use the exclusion zone land for activities like setting up a hydrogen plant, installing PV solar modules for renewable energy generation, and
building a manufacturing unit for PV cells and modules.",Exclusion zone land is not to be used for any other commercial activity
294,31,M/s HPCL Mittal Energy Limited,"The proposed NPP Site selection needs clear and specific criteria, so it is clear that the Central Transmission Utility (CTU) will not be nearby. Will the Government of India (GOI) set up this facility near the proposed nuclear power plant site, and who will cover
the cost of this infrastructure?","As mentioned in RFP - Plant Operation Phase: ""The net generation of electricity will be given to USER and USER will make necessary arrangement for its off-take""."
295,32,M/s HPCL Mittal Energy Limited,"NPCIL is requested to provide the agreement mechanism for plant reliability and availability. This will help us plan necessary backup provisions to ensure uninterrupted power for the seamless operation of the process plant. Additionally, will NPCIL permit us to audit the reliability aspects of the nuclear power plant to assess its dependability? This is critical as unplanned power interruptions are not manageable for us.",Not Relevant to RFP
296,33,M/s HPCL Mittal Energy Limited,"NPCIL to clarify that we will be entitled to the entire power generated, after adjusting for auxiliary consumption, and will be free to use it at one or multiple locations, including for third-party commercial sale, for the balance from captive power consumption. Additionally, please clarify that the heat balance in the system will be available for our use if we have any schemes for utilizing this energy, whether in the
short or long term.                              ",This aspect can be decided jointly at appropriate stage.
297,34,M/s HPCL Mittal Energy Limited,"Please clarify NPCIL's role in supporting procurement of critical components to ensure competitive pricing, timely delivery, and supplier development. Confirm if NPP procurement is subject to public procurement guidelines, including CVC and CAG
directives.","Procurement is in scope of USER with QA by NPCIL.
NPCIL support will be available for development of new suppliers."
298,35,M/s HPCL Mittal Energy Limited,"NPCIL to clarify the selection and ranking mechanism in case the number of qualified bidders exceeds the expected count or if more sites are offered. Additionally, what is NPCIL's capacity to manage such a number of projects simultaneously including their
own ongoing & pipeline project?",Not Relevant to RFP
299,36,M/s HPCL Mittal Energy Limited,"Please share the BOQ for key items, equipment, civil, structural steel, and other quantities for estimation. Additionally, provide the list of key vendors, specifications for both NPP and BOP, including supplier details, equipment names, lead times, and approximate costs.",Relevant documents will shared after signing NDA
300,1,"M/s ITC Limited, Paperboards Specialty
Papers Division","NPCIL  to  share  the  basis  of  estimation  of  expertise  fees  to  be  payable  by  user  (60
paise/kWhr).","The quantum of expertise charges under the RFP is the decision of
Govt  of India."
301,2,"M/s ITC Limited, Paperboards Specialty Papers Division","NPCIL  is  requested  to  indicate  the  break  up  of  operating  expenses  viz  fuel  charges, heavy  water  charges,  O&M  expenditure  etc.   NPCIL  has  to  provide  the  break-up  of
these cost as per prevailing norms and present-day costs.",Relevant information will be shared on signing of NDA.
302,3,"M/s ITC Limited, Paperboards Specialty Papers Division","NPCIL has indicated the O&M expenditure as Rs. 47.47 lakhs per MW per annum (base year 2017-18) with annual escalation of 6% per annum.  NPCIL to furnish the basis for
this.",Relevant information will be shared on signing of NDA.
303,4,"M/s ITC Limited, Paperboards Specialty Papers Division",NPCIL  to  clarify  whether  the  provisions  of  open  access  and  Group  Captive  will  be applicable for BSR project.,"Proposal for amendment in Electricity rules for captive consumption to include the supply from Nuclear power stations is under active consideration. Following notification by MoP, the amendment will be
made available."
304,5,"M/s ITC Limited, Paperboards Specialty Papers Division",NPCIL is requested to clarify whether both Brown field site and Green field site is accetable for the proposed project.,"Both Brown field sites and Green field sites are accetable for the
proposed project subject to complaince to AERB siting code requirements."
305,6,"M/s ITC Limited, Paperboards Specialty
Papers Division","NPCIL has to clarify whether the screening distance values mentioned in Section - C of
Annexure-1  would be applicable for brown field site or not.",SDVs are applicable to the brown field sites also.
306,7,"M/s ITC Limited, Paperboards Specialty Papers Division","In the Annexure - 3, as Qualification Requirements (QR), it is indicated that user shall have an industrial/commercial unit that has requirement of about 2500 MUs per year. The quantum of captive consumption mentioned is almost 100% of generation from 2x200 MW units.  NPCIL to clarify whether User can sell the electricity to other consumers in case captive power consumption is lower than 2500 MU.",Refer Annexure-3 and Corrigendum-IV of RFP
307,8,"M/s ITC Limited, Paperboards Specialty
Papers Division","NPCIL is requested to provide the present capital cost for 2x220 MW PHWR
implementation and annual operation cost",Relevant Details will be shared after signing NDA
308,9,"M/s ITC Limited, Paperboards Specialty Papers Division","NPCIL to clarify the reasons for suggesting such low PLF.  From the public domain information, we understand that all nuclear power plants in India are having much higher PLF (85-90%).  Hence, User requests NPCIL to revisit the suggested PLF as this will have impact on tariff estimation.",The plant is expected to operate at Normative Plant Load Factor (“PLF”) of 68.5%. The normative PLF is under consideration for revision to 72.5%. However the actual availability is expected to be higher as per historical trend of similar operating NPPs. Actual Plant availability depends upon mutiple factors.
"Overall
Query no.",Query no.,Name of Company,Description of the query,Response from NPCIL
309,10,"M/s ITC Limited, Paperboards Specialty Papers Division","NPCIL to provide the present cost for construction, operation and maintenance of spent fuel management facilities within the plant (AFR) as this would call for additional CAPEX by User.  Also, NPCIL to provide the cost related to construction, operation and maintenance of heavy water upgradation facilities.",Relevant Details will be shared after signing NDA
310,11,"M/s ITC Limited, Paperboards Specialty Papers Division",NPCIL to furnish when the decision of exclusion zone of 0.5 km will be made available. This is critical considering huge difference in land requirement and hence this would be a key factor for finalising site for BSR project.,"Current requirement of EZ as per AERB siting code (AERB/NF/SC/S Rev1) is 1 km.
A proposal for reduction of EZ to 0.5 km have been submitted and is
under review in AERB."
311,12,"M/s ITC Limited, Paperboards Specialty Papers Division","NPCIL to clarify whether User will be allowed to change the site location after submission of proposal either due to constraints in land acquisition or offered site location is rejected by site evaluation committee due to results of detailed
investigation.",USER will be allowed to offer alternate site
312,13,"M/s ITC Limited, Paperboards Specialty Papers Division","NPCIL to clarify whether Government will provide necessary support for land acquisition, ease of statutory approvals, sourcing of funds at concessional rate of
interest.",Land acquisition and finance is in scope of USER
313,14,"M/s ITC Limited, Paperboards Specialty
Papers Division","NPCIL has to clarify whether idnetified forest land will be allotted to these projects by
central government",Land shall be made available by USER.
314,15,"M/s ITC Limited, Paperboards Specialty Papers Division","NPCIL has to clarify whether the plant can be operated in cogeneration mode where the existing process plant can utilise both steam and electricity generated from the
proposed project",Query not relevant to RFP
315,16,"M/s ITC Limited, Paperboards Specialty Papers Division","NPCIL to clarify whether they will support in procurement of critical components/systems to obtain competitive prices and delivery time from potential
suppliers.",Procurement is in scope of USER.
316,17,"M/s ITC Limited, Paperboards Specialty
Papers Division","NPCIL to clarify the final selection criteria in case the number of qualified users is more
and also higher number of sites offered by various users.",Not Relevant to RFP
317,1,M/s Jayprakash Power Ventures Limited (JPVL),"JPVL is a Power Utility Generating Company having 2 TPPs [2 x 250 MW at Bina,
Proposed Site for the NPP & 2 x 660 MW at Nigrie, MP and 4 x 100 MW HEP at Vishnuprayag, UK, India]. We propose to install One Set of Twin 220 Mwe Nuclear Power Units at Bina, Madhya Pradesh.
JPVL will be interested to sell entire power generated from the proposed project to GRID only. Please confirm that AERB will approve the Tariff and NPCIL will facilitate the PPA.",Already addressed in RFP.
318,2,M/s Jayprakash Power Ventures Limited (JPVL),We assume that proposed power project is a 'must run' project. It is proposed to have a PPA of entire capacity with the help of your good offices. Request for your kind confirmation.,Not relevant to the RFP.
319,3,M/s Jayprakash Power Ventures Limited (JPVL),"After Commisssioning of the Power Plant when will be the Commercial Opertion Date (COD) is declared. This may please be clarified.
PPA should  become effective during the period of 'Initial Operation' of 5 Years, so that the entire power can be sold.
There should be continuity of PPA for which the License for 'Regular operation' may have to be ensured before the completion of the 'Initial Operation' Phase of 5 Years.","After Commisssioning of the Power Plant, The date of Commercial operation depends upon the regulatory clearances and Stable Operation of NPP. (Refer RFP Annexure-1 Part-B)
PPA related queries are not relevant to the RFP."
320,4,M/s Jayprakash Power Ventures Limited (JPVL),"O & M Expenditure as indicated in RFP - It is as per which Guideline - CERC or any other? Request to share the Tariff Guideline as applicable.
Expertise Charge @ 60 paise - Is it additional to O & M Expenditure and if so, is it Reimbursible to the USER?
Expertise Charge [60 paise/kWh in the year 2030-31] as indicated in the RFP Document which is to be payable to NPCIL needs to be pass through. Please confirm.
Expertise charges of Rs 60 Paise / kwh is for net exported power or gross power, whether include GST or extra. What will be payment terms?
Will the Expertise Base Charge of 60 paise/kWh be valid from the First Year of the project. If the Project is delayed beyond 2030-31 then will the incremental value of 1 paise / kWh per year be applicable from the revised Commssioning Date?",O&M expenditure as indicated in RFP are as per DAE notified norms. Expertise charges are payable in addition to O&M charges. The query regarding reimbursement / pass through are not relevant to the RFP. Other issues already addressed in RFP.
321,5,"M/s Jayprakash Power Ventures Limited
(JPVL)","The charges to be paid to NPCIL, whether they are inclusive of GST or NOT. Please
clarify.","All the cost including the taxes, if any, will be levied to the USER."
322,6,"M/s Jayprakash Power Ventures Limited
(JPVL)","JPVL (USER) is requesting to share the cost of Site Suitability Study to be taken for
understanding & estimate.","The document for Site Suitability Study will be furnished. Bidder is
requested to review and find out suitable cost."
323,7,M/s Jayprakash Power Ventures Limited (JPVL),"What are the charges of fuel and heavy water, how much JPVL has to invest in the same (stock , advance, re order level etc). detailed in page 40 but methodology & value
is to be disclosed.",The charges of fuel and heavy water will be decided at time of Agreement-4.
324,8,"M/s Jayprakash Power Ventures Limited
(JPVL)",What are contingent capex / major maintenance expenses?,"Point d on page 13 of 84 is regarding funding during  decommissioning
stage."
325,9,"M/s Jayprakash Power Ventures Limited
(JPVL)","Cost of financial security or/and insurance policy should be part of O & M Expenses
which is being reimbursed to NPCIL by USER. Please confirm.",Confirmed
326,10,M/s Jayprakash Power Ventures Limited (JPVL),"It is understood that USER will provide the township with appropriate accommodation with suitable amenities, transportation, medical, schooling and other allied facilities including training facilities, security establishments, neighborhood development, etc. on Chargeable Basis. Please confirm.","USER will provide the township with appropriate accommodation with suitable amenities, transportation, medical, schooling and other allied facilities including training facilities, security establishments, neighborhood development, etc. as agreed by the USER and
NPCIL. All these expenses are part of plant opeartion phase and shall be borne by USER as part of O&M expenses."
327,11,M/s Jayprakash Power Ventures Limited (JPVL),"If project is to be transferred at Rs 1, how O&M agreement will be executed. What are the service covered in the O&M, service only, or alongwith O & M spares?","Micro detailing for the relevant agreements can be mutually agreed upon at the appropriate juncture within the existing regulatory
framework."
328,12,M/s Jayprakash Power Ventures Limited (JPVL),"We understand that any damages, consequential damages, due to Engineering, Construction, Operation & Maintenance short-comings for which USER is not responsible, the same shall be under the obligations of NPCIL.  Any liability arising out of improper Construction, O&M w.r.t. Government Agencies, International Agencies,
shall be NPCIL responsibility.",Refer RFP: Plant operation phase.
329,13,"M/s Jayprakash Power Ventures Limited
(JPVL)","Management Committee for proper coordination for Generation Scheduling may need
to be formed. NPCIL may please confirm.",Not relevant to RFP
330,14,"M/s Jayprakash Power Ventures Limited
(JPVL)","NPCIL will be project Proponent, what does it means in terms of legal ownership","Submission for all statutory & regulatory clearances will be on behalf
of NPCIL as project proponent."
331,15,M/s Jayprakash Power Ventures Limited (JPVL),"We intend to use the services of Group Company expertise in Civil  Structural works which has long-standing credentials in Hydro Power Plant EPC. Please confirm. If Enlistment with Approved List of Vendors of NPCIL is needed, we will follow the
required procedure.",User can recommend new vendors for qualification by NPCIL.
332,16,M/s Jayprakash Power Ventures Limited (JPVL),"At the Proposed Site of Bina Available Land is 260 hectares.
Considering approval of 0.5 km as Exclusion Zone is granted, we propose to go for One set of Twin 220 Mwe Power Units for the project.","Current requirement of EZ as per AERB siting code (AERB/NF/SC/S Rev1) is 1 km.
A proposal for reduction of EZ to 0.5 km have been submitted and is
under review in AERB."
333,17,M/s Jayprakash Power Ventures Limited (JPVL),"Please note that Bina Refinery is at 21 Km distance from the proposed Site. To the best of our knowledge, Oil Refinery does not come under Chemical Explosive Zone and that too it is 21 Kms away from the Proposed Site. Please confirm that our understanding is
correct.",The SDV for major industries is 16 km as per AERB siting code.
334,18,M/s Jayprakash Power Ventures Limited (JPVL),"Is there any format to be provided by NPCIL for board / shareholders resolution / power of attorney in favour of the Person executing the Power of Attorney for the delegation of power on behalf of JPVL ( the USER). Can  User make Power of Attorney
in the name of more than 1 person for ease  of operation?",This is as per USER company policies
335,19,M/s Jayprakash Power Ventures Limited (JPVL),"""What is to be attached to confirm the supporting information as requested against the Points indicated vide Annexure 1,  Para A- (A) [Land Area Requirement], (B) [Acceptance / Rejection Criteria and© Screening Distance Values (SDVs) - Self
Certification or any Documentary evidence needed?",Refer RFP checklist for information on site along with submission of proposal.
336,1,M/s Jindal India Power Limited,"Clarification on Eligibility Criteria Under Captive Generating Plant (Please refer to the
detailed query, attached as Annexure-I)",Refer Annexure-3 & Corrigendum-IV of RFP.
337,2,M/s Jindal India Power Limited,"Tariff Determination for Third Party Sell of Electricity through Power Exchanges (Please
refer to the detailed query, attached as Annexure-II)",RFP terms & conditions will prevail.
338,3,M/s Jindal India Power Limited,"Waiver of Captive Consumption Criteria (Please refer to the detailed query, attached as
Annexure-III)",Refere Annexure-3 and corrigendum-IV of RFP
339,4,M/s Jindal India Power Limited,"Clarification About the Accounting Treatment Post Execution of Asset Transfer Agreement (Please refer to the detailed query, attached as Annexure-IV)","Micro detailing for the relevant agreements can be mutually agreed
upon at the appropriate juncture within the existing regulatory framework."
340,5,M/s Jindal India Power Limited,"Information Required for Calculating the Levelized Cost of Electricity (LCOE) (Please
refer to the detailed query, attached as Annexure-V)",Relevant information will be shared on signing of NDA.
341,6,M/s Jindal Nuclear Power Private Limited,"Please provide the details of amendment of Electricity Rules 2005, which is under consideration. As per our understanding, Electricity Rules doesn’t differentiate between electricity sources for the determining the Captive status","Following notification by MoP, the amendment will be made available."
342,7,M/s Jindal Nuclear Power Private Limited,"NPCIL shall be liable for any damages due to non fulfillment / negligence of its employees, agents etc.","Micro detailing for the relevant agreements can be mutually agreed upon at the appropriate juncture within the existing regulatory
framework."
343,8,M/s Jindal Nuclear Power Private Limited,"This needs to be discussed throughly, as any reimbursement of Tax will be consider as
income as per income tax regulations","The Tax planning for payments / reimbursement under this RFP  has
to be dealt as per the prevaling Tax rules."
344,9,M/s Jindal Nuclear Power Private Limited,"While it's understandable, NPCIL will not commit to any financial commitments at this stage, however, NPCIL should commit itself to specific timelines for completing such
evaluation.",NPCIL's role is providing expert service and project management is within the scope of the user.
345,10,M/s Jindal Nuclear Power Private Limited,"NPCIL shall facilitate the user to get the approval from the state in timely manner. Also, we understand the NPCIL shall operate the plant then what is the purpose of sub leasing of the land in favour of NPCIL.  Please appreciate that such transfer not only significantly impact the User's legal rights but also creates various taxation issues",To ensure compliance with Atomic Energy Act.
346,11,M/s Jindal Nuclear Power Private Limited,"Please clarify the rationale behind sub leasing of the land as NPCIL shall have rights only over the operational assets. Instead, In place of sub leasing; can we provide NPCIL only
""right of use agreement""?",To ensure compliance with Atomic Energy Act.
347,12,M/s Jindal Nuclear Power Private Limited,"This clause should be mutual and include gross negligence, willful default and fraud and all other circumstances wherein either of the party shall be liable to indemnify each
other.","Micro detailing for the relevant agreements can be mutually agreed upon at the appropriate juncture within the existing regulatory
framework."
348,13,M/s Jindal Nuclear Power Private Limited,"In the this Clause, please explain the methodology to be adopted for 'asset transfer' ? What will it include as this might include siginificant tax liability?","The braod methodology within the existing regulatory framework has been addressed in the RFP,  for micro detailing, financial / Tax  experts
may be consulted."
349,14,M/s Jindal Nuclear Power Private Limited,"1. What dooes Asset Transfer mean here?
2.  Draft of all agreements and MoU need to be shared with the bidders upfront so that the same can also be reviewed.
3. Please layout the scope and coverage of O&M agreement. Also, please clarify the coverage during decommissioning phase as well as post decommissioning.","1.Already addressed in RFP.
2 &3. Relevant information will be shared on signing of NDA."
350,15,M/s Jindal Nuclear Power Private Limited,"1. Request to provide the workings to arrive the 60 paise number as on the face of it, it apprears to be quite high, arbitrary and unreasonable;
2. In our view, the expertise charge should be directly linked to the exceptional performance resulting from such expertise, for e.g. it may be applicable for units beyond a PLF of 85% while it should also carry an equivalent penalty  for units below
the 85% PLF number.",The quantum of expertise charges under the RFP is the decision of Govt  of India.
351,16,M/s Jindal Nuclear Power Private Limited,"The exit clause currently appears to be one-sided. To ensure fairness and balance, the exit provisions concerning the USER should include a reasonable notice period for curation of default. It is proposed that a notice period of atleast 12-18 months be provided to allow the USER adequate time to address and resolve the issues leading to
default or to make alternative arrangements.",Micro detailing for the relevant agreements can be mutually agreed upon at the appropriate juncture within the existing regulatory framework.
352,17,M/s Jindal Nuclear Power Private Limited,USER after getting approval from the lender of his finances and the approval shall not be withheld unreasonably of DAE / NPCIL.,"Micro detailing for the relevant agreements can be mutually agreed upon at the appropriate juncture within the existing regulatory
framework."
353,18,M/s Jindal Nuclear Power Private Limited,"The current clause restricts the participants to only Comsumers. However, please
appreciate that most of the said companies are listed and they may have a possible restriction on work areas and investments. Therefore, we would request if the definition can include Third party and/or Group companies to be elgible for participation in the RfS either through a consortium or utilizing the credentials of Consumer and making the project as Group Captive under the provisions of Electricity Rules 2005",Refer Annexure-3 & Corrigendum-IV of RFP.
354,19,M/s Jindal Nuclear Power Private Limited,Please provide an exhaustive list of clearances to be obtained along with the specific timeline for obtaining them.,"Regulatory Clearances  as per RFP Annexure-1 Part-B.
Statutory clearances from applicable state/central government agencies and any other applicable statutory bodies for setting up NPPs will be required to be otained."
355,20,M/s Jindal Nuclear Power Private Limited,"After the site is approved by DAE site selection committee, NPCIL will approach MoEFCC and other State/ Central statutory agencies for clearances. USER will bear all expenses (including that incurred by NPCIL, including manpower cost of NPCIL).","All submission will be made by NPCIL as a project proponent. NPCIL, along with user would approach for clearances from statutory agencies.  USER will bear all expenses (including that incurred by
NPCIL, including manpower cost of NPCIL)."
356,21,M/s Jindal Nuclear Power Private Limited,"Instead of only providing the approved list of vendors, NPCIL should provide Vendor Qualification Criteria for the selection of vendors. This not only will give the required flexibility to the USER but also will widen the vendor base. Final Technical qualification shall lie with NPCIL, and post their confirmation USER should be able to approach all the qualified vendors. NPCIL may also participate with USER while finalizing the
vendors.",User can recommend new vendors for qualification by NPCIL.
357,22,M/s Jindal Nuclear Power Private Limited,"(1) Instead of providing the approved list of vendors, NPCIL should provide Vendor qualification criteria for the selection of vendors. NPCIL can jointly participate with private partner on the finalization of vendors. (2) NPCIL should provide Quality assurance plan and technical specification with estimated cost of QA.",User can recommend new vendors for qualification by NPCIL.
358,23,M/s Jindal Nuclear Power Private Limited,"1. We assume that the tripartite agreement will ensure the uninterrupted supply of fuel and heavy water till the useful life of the Project. Please confirm.
2. Also, how will such cost of supply of fuel and heavy water be determined?","Uninterrupted supply of fuel and heavy water will be ensured by DAE, GoI and cost of Fuel and Heavy water will be determined by DAE, GoI"
359,24,M/s Jindal Nuclear Power Private Limited,"As per clause vii(c)(ix)fuel and spent fuel shall always remain property of DAE. Therefore, if there is a delay on the part of DAE beyond the normal envisaged period in shifting the spent fuel from the on-site spent fuel storage pool for its further management , the contingent cost for its continued storage should be borne by the DAE. Therefore, USER should not be asked to bear the cost required for AFRs.",RFP terms & conditions shall prevail.
360,25,M/s Jindal Nuclear Power Private Limited,What amounts to waste? How long will waste management be extended? Till when does the User bear the cost of waste management?,"Waste Management will be applicable to all phases of the plant starting from Commissioning, Opeartion and Deommisioning. Cost of waste mangement in all phases of NPP will be beared by USER."
361,26,M/s Jindal Nuclear Power Private Limited,"Is the decommissioning levy a part of the operating expenditure, or does it need to be paid separately by the USER? On page 39 of 84 of the RFP document, the levies mentioned are stated to be a part of the operating expenditure (OPEX).",RFP terms & conditions prevail.
362,27,M/s Jindal Nuclear Power Private Limited,"1. Whether the uniterrupted supply of fuel is considered as Force majeure.
2. Also, since the Dispute Resolution Mechanism has clearly been detailed out later in the RFP, request if we can replace the words, ""Dispute Resolution Procedure of DAE"" with ""Dispute Resolution Mechanism""",RFP terms & conditions prevail.
363,28,M/s Jindal Nuclear Power Private Limited,Any acquisition made in the national interest must be conducted at fair market value.,Not Relevant to RFP
364,29,M/s Jindal Nuclear Power Private Limited,What is the requirement of sufficient land for the submission of proposal?  Whether 331 acres or 87 acres?  Clarification as to exclusion zone limits to be clarified to before bid submission. Two figures have been provided.,"The land area required for 2x220 Mwe BSR depends upon the EZ distance from center of Reactor. Presently the siting code stipulates EZ of 1km. Reduction of EZ requirement from 1 km to 0.5 km is under
review by AERB."
365,30,M/s Jindal Nuclear Power Private Limited,"The supporting information about acceptance or rejection of the site can be provided only after the completion of the site suitability studies (including seismic and geological studies by expert agencies), which may take as long as a year. Therefore, it should not form part of the RFP Checklist as USER can't undertake the same right upfront.
",Available information may be provided. Status/plan for remaining information may be furnished alongwith proposal.
366,31,M/s Jindal Nuclear Power Private Limited,"7 days storage of water at plant site is required. Please provide the quantity of of
water, for every 2X220MW reactors, needed to be stored at site.","Please refer applicable clause of AERB siting Code AERB/NF/SC/S Rev-
1."
367,32,M/s Jindal Nuclear Power Private Limited,Establishing a single-window clearance portal will facilitate and streamline the process of obtaining approvals for all regulatory compliances. This portal would reduce delays and provide a centralized platform for managing the approval process. NPCIL is requested to comment and share the details of the efforts being made in this respect.,"As of now, there is no such system available with AERB. All consents/clearances are to be otained as per AERB code on regulation (AERB/SC/G)."
368,33,M/s Jindal Nuclear Power Private Limited,"If the requirement of EMCCR/EMFR occures earlier then 20 years due to O&M related issues, NPCIL should accept the responsibility for bearing such expenditure.",RFP terms & conditions shall prevail.
369,34,M/s Jindal Nuclear Power Private Limited,"O&M expenditure needs to be capped based upon the best achieved expenditure in
similar NPPs owned by NPCIL.",RFP terms & conditions shall prevail.
370,35,M/s Jindal Nuclear Power Private Limited,"Companies with an electricity requirement of 2,500 MU per year are also eligible to participate through their subsidiaries, associates, and/or consortiums with third party. The project should ensure minimum 51% of generation to be consumer captively in line
with Electricity Rules 2005.",Refer RFP Annexure-3 and Corrigendum-IV
371,36,M/s Jindal Nuclear Power Private Limited,"1. The EMD should be in the form of Corproate Guarantee/ Bank Guarantee/ Surety Bonds/ Payment on Order Instrument (POI), etc.
2. USER should be allowed to propose alternate site(s) to replace originally proposed site within the same EMD within a stipulated time upon rejection of the originally proposed site.","1. Earnest Money Deposit (EMD) in the form of Online Payment/Bank Guarantee /Insurance Surety Bond will be accepted. Refer Corrigendum-V to RFP for Format of Bank Guarantee in lieu of EMD.
2. Noted and will be permitted"
372,1,M/s Jindal Stainless Limited,"What are the key terms and conditions expected in the non-committal MoU and the
definitive agreement (Agreement-1)?",Relevant information will be shared on signing of NDA.
373,2,M/s Jindal Stainless Limited,"How does financing against an intangible asset, such as the right to electricity, work in
practice?","The option of financing & terms to be discussed with the financial
institutions ."
374,3,M/s Jindal Stainless Limited,What are the expected financing costs and terms for such arrangements?,"The option of financing & terms to be discussed with the financial
institutions ."
375,4,M/s Jindal Stainless Limited,"What are the key terms and conditions of the construction agreement (Agreement-2),
specifically regarding NPCIL's supervision and control?",Relevant information will be shared on signing of NDA.
376,5,M/s Jindal Stainless Limited,"Can you provide detailed clarification on the asset transfer process, including the
rationale behind the ₹1 transfer value?",To ensure compliance with Atomic Energy Act.
377,6,M/s Jindal Stainless Limited,"What are the key terms and conditions of the O&M agreement (Agreement-3) and the
tripartite fuel leasing agreement (Agreement-4)?",Relevant information will be shared on signing of NDA.
378,7,M/s Jindal Stainless Limited,"Can you provide details on the calculation of O&M charges, contingent CAPEX, and the
expertise fee?",Relevant information will be shared on signing of NDA.
379,8,M/s Jindal Stainless Limited,"Can you elaborate on the financial security or insurance policy requirements under the CLND Act, along with the associated costs?","Please refer the provisions of  CLND act & for purpose of the application of the Civil Liability for Nuclear Damage Act, 2010 (“CLND
Act.”) NPCIL shall be operator."
380,9,M/s Jindal Stainless Limited,"How will responsibilities for nuclear safety and compliance be divided between the
USER and NPCIL?",Compliance to nuclear safety is responsibility of NPCIL.
381,10,M/s Jindal Stainless Limited,What specific data and analyses are required for the preliminary site evaluation study?,Refer AERB siting Code AERB/NF/SC/S Rev-1
382,11,M/s Jindal Stainless Limited,"Seek detailed information on the site selection guidelines of AERB, particularly the
criteria for site rejection.",Refer AERB siting Code AERB/NF/SC/S Rev-1
383,12,M/s Jindal Stainless Limited,"What is the process for land reclassification for a nuclear power plant, and what
support will NPCIL provide in this process?","Land reclassification is in scope of USER as per local state government
and central government regulations."
384,13,M/s Jindal Stainless Limited,"What is the estimated cost of detailed site evaluation studies, and how will these costs be apportioned between the USER and NPCIL?",Cost to be obtained by USER from the respective agencies. Complete cost of detailed site evaluation studies are to be borne by USER.
385,14,M/s Jindal Stainless Limited,"What are the criteria for vendor selection, and to what extent will the USER have flexibility in selecting specific vendors?","List of NPCIL approved vendors will be provided at appropriate time. New vendor may be accepted by evaluating its capability to execute
the job by USER & NPCIL."
386,15,M/s Jindal Stainless Limited,"Can a detailed list of approved vendors for construction and supply, along with their
track records, be provided?",Relevant documents will shared after signing NDA
387,16,M/s Jindal Stainless Limited,"What is the process for obtaining stage-wise approvals from AERB, and what support
will NPCIL provide in this regard?",All the regulatory approvals will be obtained by NPCIL.
388,17,M/s Jindal Stainless Limited,"How will the costs for NPCIL's QA services be determined, and what will be the
reimbursement mechanism?",RFP terms & conditions shall prevail.
389,18,M/s Jindal Stainless Limited,"What are the current and projected costs of fuel and heavy water, including
transportation?",Relevant Details will be shared after signing NDA
390,19,M/s Jindal Stainless Limited,"What is the per-unit generation cost of fuel and heavy water, including transportation
expenses?",Relevant information will be shared on signing of NDA.
391,20,M/s Jindal Stainless Limited,"Can you elaborate on the Plant Load Factor (PLF) of 68.5% (with a potential revision to 72.5%), and clarify if it reflects the maximum generating capacity?",The plant is expected to operate at Normative Plant Load Factor (“PLF”) of 68.5%. The normative PLF is under consideration for revision to 72.5%. However the actual availability is expected to be higher as per historical trend of similar operating NPPs. Actual Plant availability depends upon mutiple factors.
392,21,M/s Jindal Stainless Limited,"What are the estimated costs for spent fuel management, waste management, and
D2O upgradation?",Relevant Details will be shared after signing NDA
393,22,M/s Jindal Stainless Limited,What is the process for determining the tariff for electricity sales to other customers?,RFP terms & conditions will prevail.
394,23,M/s Jindal Stainless Limited,"Can you provide details on the decommissioning levy, the management of the fund,
and the estimated total cost of decommissioning?",RFP terms & conditions will prevail.
395,24,M/s Jindal Stainless Limited,What is the expected timeline and process for decommissioning activities?,Refer RFP Annexure-1.
396,25,M/s Jindal Stainless Limited,"What are the specific conditions under which the USER may be permitted to exit the
project?",RFP terms & conditions shall prevail.
397,26,M/s Jindal Stainless Limited,What are the implications for the USER if NPCIL decides to exit the project?,RFP terms & conditions shall prevail.
398,27,M/s Jindal Stainless Limited,"Can you provide further clarity on the definition and scope of ""Force Majeure"" events,
as well as their potential impact on the project and associated costs?",RFP terms & conditions shall prevail.
399,28,M/s Jindal Stainless Limited,"What is the expected timeline for the entire proposal process, from RFP invitation to
project award?",Relevant Details will be shared after signing NDA
400,29,M/s Jindal Stainless Limited,"What are the key risks and challenges associated with this project, and what measures
can be implemented to mitigate them?",Not Relevant to RFP
401,1,M/s JSW Energy Limited,"Does the charge of INR 0.60/kwh includes the manpower cost of NPCIL? Please share a
break of INR 0.60/kwh. Also, please clarify on whether the User has to pay the cost perpetually or for only 5/10 years?",The quantum of expertise charges under the RFP is the decision of Govt  of India.
402,2,M/s JSW Energy Limited,"Please share the detailed break-up of O&M cost for the year 2024-2025 and expected
escalation on each component",Relevant information will be shared on signing of NDA.
403,3,M/s JSW Energy Limited,"Why there is a need to transfer the asset and land to NPCIL? The User will not be able
to hypotheticate the asset while financing the project.",To ensure compliance with Atomic Energy Act.
404,4,M/s JSW Energy Limited,"CLND (Insurance) by NPCIL - Cost to be shared for all the units put together, the same
would be economical.",Depnds upon the terms of insurance and policy avaialble in market.
405,5,M/s JSW Energy Limited,"Please provide further clarity on the fuel agreement? How much stock would the user have to keep? Who will be responsible in case of shortage of fuel and how will the user
be compensated?",Relevant information will be shared on signing of NDA.
406,6,M/s JSW Energy Limited,"Can there be an arrangement of selling power outside of captive? Please provide
details with respect to the same.",Already addressed in RFP.
